Timestamp,Cage ,OG Cage Animal 1,Animal 1,Animal 1- Behavior,OG Cage Animal 2,Animal 2,Animal 2- Behavior,Observer name/Comments,Start/End,Outside of designated observation time
11/14/2019 11:45:46,Cage 4,Cage 5,3,Bite/Fight,Cage 2,2,"Flee, Subordinate posture",,,
11/14/2019 11:47:48,Cage 4,Cage 4,4,Bite/Fight,Cage 2,2,Freeze/immobility,,,
11/14/2019 11:48:45,Cage 4,Cage 4,4,Bite/Fight,Cage 2,2,"Subordinate posture, Freeze/immobility",,,
11/14/2019 11:49:34,Cage 4,Cage 5,3,Bite/Fight,Cage 2,2,"Subordinate posture, Freeze/immobility",,,
11/14/2019 11:50:55,Cage 4,Cage 4,4,Bite/Fight,Cage 2,2,Freeze/immobility,,,
11/14/2019 11:51:07,Cage 4,Cage 5,3,"Lunge, Bite/Fight",Cage 4,4,"Flee, Freeze/immobility",,,
11/14/2019 11:52:17,Cage 4,Cage 5,3,Bite/Fight,Cage 2,2,Subordinate posture,,,
11/14/2019 11:53:17,Cage 4,Cage 3,2,Bite/Fight,Cage 2,2,Freeze/immobility,,,
11/14/2019 11:53:43,Cage 3,Cage 5,2,Bite/Fight,Cage 2,4,"Subordinate posture, Freeze/immobility",,,
11/14/2019 11:54:38,Cage 3,Cage 5,2,"Lunge, Bite/Fight",Cage 2,4,"Subordinate posture, Freeze/immobility",,,
11/14/2019 11:55:25,Cage 3,Cage 4,3,Bite/Fight,Cage 2,4,Subordinate posture,,,
11/14/2019 11:56:10,Cage 1,Cage 3,4,Bite/Fight,Cage 4,1,Subordinate posture,,,
11/14/2019 11:57:01,Cage 5,Cage 1,4,Bite/Fight,Cage 1,1,Freeze/immobility,,,
11/14/2019 11:57:37,Cage 5,Cage 1,1,Bite/Fight,Cage 1,3,Freeze/immobility,,,
11/14/2019 11:58:15,Cage 4,Cage 5,3,"Bite/Fight, Chase",Cage 2,2,"Flee, Subordinate posture",,,
11/14/2019 11:58:34,Cage 3,Cage 4,3,Bite/Fight,Cage 2,4,"Subordinate posture, Freeze/immobility",,,
11/14/2019 12:02:31,Cage 1,Cage 1,1,Lunge,Cage 1,1,Lunge,Tmm,End,
11/14/2019 14:06:17,Cage 1,Cage 1,1,Lunge,Cage 1,1,Lunge,Tmm,Start,
11/14/2019 14:07:41,Cage 4,Cage 5,3,Mount,Cage 3,2,Freeze/immobility,,,
11/14/2019 14:10:08,Cage 4,Cage 3,2,Bite/Fight,Cage 4,4,Flee,,,
11/14/2019 14:10:24,Cage 4,Cage 5,3,Bite/Fight,Cage 3,2,Subordinate posture,,,
11/14/2019 14:10:44,Cage 3,Cage 4,3,Bite/Fight,Cage 2,4,Subordinate posture,,,
11/14/2019 14:11:30,Cage 4,Cage 5,3,Bite/Fight,Cage 2,2,Freeze/immobility,,,
11/14/2019 14:11:58,Cage 4,Cage 4,4,"Bite/Fight, Mount",Cage 3,2,Freeze/immobility,,,
11/14/2019 14:14:11,Cage 4,Cage 5,3,Mount,Cage 3,2,Freeze/immobility,,,
11/14/2019 14:14:50,Cage 2,Cage 5,1,Bite/Fight,Cage 2,3,Freeze/immobility,,,
11/14/2019 14:15:30,Cage 2,Cage 4,2,Bite/Fight,Cage 5,1,"Flee, Subordinate posture",,,
11/14/2019 14:15:48,Cage 2,Cage 4,2,Bite/Fight,Cage 3,1,"Subordinate posture, Freeze/immobility",,,Yes
11/14/2019 14:17:13,Cage 2,Cage 4,2,"Lunge, Bite/Fight",Cage 5,1,"Flee, Freeze/immobility",,,
11/14/2019 14:17:33,Cage 2,Cage 5,1,Bite/Fight,Cage 3,1,Freeze/immobility,,,
11/14/2019 14:17:54,Cage 4,Cage 5,3,Bite/Fight,Cage 2,2,Freeze/immobility,,,
11/14/2019 14:18:10,Cage 2,Cage 4,2,Bite/Fight,Cage 5,1,Flee,,,
11/14/2019 14:18:28,Cage 2,Cage 4,2,Bite/Fight,Cage 3,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 14:18:56,Cage 2,Cage 5,1,Bite/Fight,Cage 3,1,Freeze/immobility,,,
11/14/2019 14:19:41,Cage 4,Cage 5,3,Mount,Cage 2,2,Freeze/immobility,,,
11/14/2019 14:20:30,Cage 4,Cage 5,3,"Lunge, Bite/Fight",Cage 2,2,Freeze/immobility,,,
11/14/2019 14:21:22,Cage 2,Cage 4,2,"Bite/Fight, Chase",Cage 5,1,"Flee, Subordinate posture",,,
11/14/2019 14:22:15,Cage 3,Cage 4,3,Bite/Fight,Cage 3,3,Freeze/immobility,,,
11/14/2019 14:22:58,Cage 4,Cage 5,3,Mount,Cage 2,2,Freeze/immobility,,,
11/14/2019 14:23:38,Cage 4,Cage 3,2,"Lunge, Bite/Fight",Cage 4,4,Freeze/immobility,,,
11/14/2019 14:24:07,Cage 4,Cage 5,3,Bite/Fight,Cage 2,2,"Subordinate posture, Freeze/immobility",,,
11/14/2019 14:26:04,Cage 4,Cage 5,3,Mount,Cage 2,2,Freeze/immobility,,,
11/14/2019 14:26:29,Cage 4,Cage 3,2,"Chase, Mount",Cage 4,4,"Flee, Freeze/immobility",,,
11/14/2019 14:27:32,Cage 4,Cage 5,3,Bite/Fight,Cage 2,2,Freeze/immobility,,,
11/14/2019 14:28:07,Cage 2,Cage 4,2,"Lunge, Bite/Fight",Cage 5,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 14:29:51,Cage 4,Cage 5,3,"Chase, Mount",Cage 4,4,"Flee, Freeze/immobility",,,
11/14/2019 14:32:43,Cage 4,Cage 5,3,"Chase, Mount",Cage 3,2,"Flee, Freeze/immobility",,,
11/14/2019 14:33:47,Cage 4,Cage 3,2,Mount,Cage 4,4,Freeze/immobility,,,
11/14/2019 14:35:44,Cage 1,Cage 3,4,Lunge,Cage 4,1,Subordinate posture,,,
11/14/2019 14:36:20,Cage 2,Cage 5,1,Bite/Fight,Cage 2,3,Subordinate posture,,,
11/14/2019 14:36:43,Cage 4,Cage 3,2,Mount,Cage 4,4,"Subordinate posture, Freeze/immobility",,,
11/14/2019 14:37:00,Cage 4,Cage 5,3,Mount,Cage 4,4,Freeze/immobility,,,
11/14/2019 14:37:24,Cage 4,Cage 3,2,Bite/Fight,Cage 4,4,"Flee, Subordinate posture",,,
11/14/2019 14:37:49,Cage 1,Cage 3,4,Bite/Fight,Cage 5,4,"Subordinate posture, Freeze/immobility",,,
11/14/2019 14:38:03,Cage 1,Cage 3,4,Bite/Fight,Cage 2,1,Freeze/immobility,,,
11/14/2019 14:38:25,Cage 4,Cage 3,2,Bite/Fight,Cage 4,4,"Subordinate posture, Freeze/immobility",,,
11/14/2019 14:38:37,Cage 5,Cage 1,4,"Lunge, Bite/Fight",Cage 1,2,Freeze/immobility,,,
