"","symbol","dsub_logFC","dsub_pv","time","dd_logFC","dd_pv"
"119","Alcam",0.56756224736916,0.014,70,0.580279461419916,0.0134
"120","Cndp1",-0.361402343990922,0.014,70,-0.410018807237635,0.0076
"121","Pcmtd1",0.229730525860808,0.0148,70,0.208232270826281,0.0274
"122","Arsg",0.617548831996971,0.015,70,0.557973060471274,0.035
"123","Fibin",1.37466902959029,0.0154,70,1.24531351766818,0.0372
"124","Igfbp7",0.622576804677752,0.016,70,0.60463019882274,0.0228
"125","Praf2",0.258231141736021,0.0162,70,0.29283295661349,0.0098
"126","Spp1",1.94907832043477,0.0166,70,1.95696410977832,0.0246
"127","Fam107b",0.368595307112817,0.0168,70,0.37888614012592,0.0218
"128","Mrpl36",0.229182396380661,0.0172,70,0.24074576050053,0.0152
"129","Gcnt2",0.415844111928757,0.0176,70,0.362872115725263,0.0372
"130","Atrnl1",0.212871180036323,0.018,70,0.229554442303853,0.0144
"131","Pde6d",0.21548469128967,0.0182,70,0.300895943075346,0.002
"132","Leprot",0.332850194104915,0.0182,70,0.362241855036229,0.0138
"133","Zkscan5",0.355033549414578,0.0182,70,0.306255157712455,0.0474
"134","Grin3a",0.411119964750283,0.0184,70,0.378433269526159,0.0348
"135","Trps1",0.425924592756315,0.0188,70,0.370303645818843,0.0452
"136","Tmsb4x",0.226336355433316,0.0188,70,0.230914288842905,0.0192
"137","Thg1l",0.52398704151539,0.019,70,0.470709225584694,0.0456
"138","Lyz2",1.07687166882974,0.019,70,1.03892156837948,0.034
"139","Sting1",0.741085444862414,0.0198,70,0.858419937975818,0.0148
"140","Kcnip3",0.244415737821573,0.0206,70,0.27369501731139,0.0126
"141","Mas1",0.441191344822605,0.021,70,0.469637484333821,0.0202
"142","Ptgs2",0.629965978903434,0.0214,70,0.623536895314358,0.0312
"143","Cp",1.0061300211633,0.0218,70,0.919041675969846,0.0404
"144","Pdcd6",0.256725622334228,0.0218,70,0.266491399076719,0.025
"145","C5ar1",0.646430662011337,0.0222,70,0.741040901578271,0.013
"146","Ptk2b",0.348009174769524,0.0222,70,0.300382509637997,0.0422
"147","Mif4gd",0.35573437882499,0.023,70,0.420183517325145,0.0118
"148","Pycr2",0.299589998037241,0.0234,70,0.376294178304611,0.008
"149","Parp9",0.584052415664641,0.0258,70,0.857005174547783,0.003
"150","Chchd3",0.228201639833983,0.0262,70,0.206873398437539,0.0458
"151","Fmnl2",0.236543933654253,0.0264,70,0.23068843548817,0.0334
"152","Parvg",0.658179725298804,0.0266,70,0.703665873055821,0.0246
"153","Doc2b",0.455874952256088,0.0278,70,0.420033662651334,0.0474
"154","D630023F18Rik",0.440605278136711,0.0282,70,0.442325193726212,0.0298
"155","Rbm41",-0.351944573987415,0.0292,70,NA,NA
