"symbol","as_logFC","as_pv","time","ds_logFC","ds_pv","regulated","condition"
"Plekha2",0.986452164781838,0.0284,70,1.71069947344627,0,"up","TRN vs SUB"
"Olfr1204",-0.443850365181186,0.0284,70,-0.436020861360533,0.0282,"down","TRN vs SUB"
"Cfap65",-0.397132453206005,0.0286,70,-0.386736479595894,0.0286,"down","TRN vs SUB"
"Ndufb8",0.206942209757228,0.0288,70,0.20028996271461,0.032,"up","TRN vs SUB"
"Pik3r1",-0.252763632463096,0.0288,70,-0.361004276020806,0.0036,"down","TRN vs SUB"
"Atg16l2",-0.24344111436172,0.029,70,-0.240637859189084,0.0276,"down","TRN vs SUB"
"Clstn2",0.455966216588279,0.0292,70,0.417155108969359,0.0482,"up","TRN vs SUB"
"Olfr1381",-0.528456904304544,0.0292,70,-0.549784560767695,0.0184,"down","TRN vs SUB"
"Ppp1r14a",0.732878298315769,0.0296,70,0.845058896268596,0.0118,"up","TRN vs SUB"
"Hcfc2",-0.244307035012511,0.03,70,-0.300349203700181,0.0062,"down","TRN vs SUB"
"Txk",-0.35012826203134,0.0304,70,-0.304813874222678,0.0488,"down","TRN vs SUB"
"Tac1",0.656804690742416,0.0306,70,1.22111740640358,0,"up","TRN vs SUB"
"Slitrk2",0.347813887846217,0.0308,70,0.536099231240081,4e-04,"up","TRN vs SUB"
"Manea",0.322486617112127,0.031,70,0.40156579477061,0.007,"up","TRN vs SUB"
"Abhd18",-0.291841394251826,0.0312,70,-0.286722351217697,0.0288,"down","TRN vs SUB"
"Zcchc12",0.316362038848457,0.0314,70,0.440732578375195,0.003,"up","TRN vs SUB"
"Etnk2",-1.10996920179044,0.0314,70,-1.85054602160589,0.0012,"down","TRN vs SUB"
"Slc17a8",-0.592910358212444,0.0316,70,-0.630624043270755,0.022,"down","TRN vs SUB"
"Plekha6",-0.204720716235134,0.0322,70,-0.39783553880796,2e-04,"down","TRN vs SUB"
"Flnb",-0.294154309695037,0.0326,70,-0.340436855268635,0.0172,"down","TRN vs SUB"
"Pan2",-0.33938837307604,0.0328,70,-0.324453783500478,0.0348,"down","TRN vs SUB"
"Gcm1",-0.558972067185066,0.033,70,-0.504633730097799,0.0488,"down","TRN vs SUB"
"Npy",0.41826198897177,0.033,70,0.592464198090705,0.0048,"up","TRN vs SUB"
"Kmt2a",-0.257024696466452,0.0332,70,-0.35546119765328,0.0022,"down","TRN vs SUB"
"Rimklb",-0.291479101157916,0.0332,70,-0.438348115374218,0.003,"down","TRN vs SUB"
"Zfp536",0.419835362209397,0.0332,70,0.742157460194904,4e-04,"up","TRN vs SUB"
"Cenpi",-0.401334136884391,0.0336,70,-0.401457703778697,0.0238,"down","TRN vs SUB"
"Minar1",-0.495413124614522,0.0336,70,-0.484220551468316,0.0286,"down","TRN vs SUB"
"Car2",0.420728850154021,0.034,70,0.447099943253291,0.021,"up","TRN vs SUB"
"Ap5z1",-0.232671608019634,0.034,70,-0.305921236806227,0.006,"down","TRN vs SUB"
"Npc2",0.307846908417315,0.0342,70,0.42898092724878,0.0022,"up","TRN vs SUB"
"Akap7",-0.24718586882522,0.0342,70,-0.466115476910718,6e-04,"down","TRN vs SUB"
"Dtx4",-0.334331442115264,0.0342,70,-0.608264266355622,4e-04,"down","TRN vs SUB"
"Esr1",0.691615735013484,0.0352,70,0.771909963800478,0.0158,"up","TRN vs SUB"
"Mobp",0.773930862440346,0.0352,70,1.03707082890296,0.007,"up","TRN vs SUB"
"Uqcc2",0.21276047756689,0.0354,70,0.205021310490135,0.042,"up","TRN vs SUB"
"B3galt5",0.598684889723336,0.0354,70,1.07705047547301,2e-04,"up","TRN vs SUB"
"Serpini1",0.284479091365395,0.0356,70,0.351448892800776,0.0142,"up","TRN vs SUB"
"Plp1",0.719188409137058,0.0362,70,0.897279327161433,0.0102,"up","TRN vs SUB"
"Mzt2",0.311889767146317,0.0364,70,0.414228249280024,0.0056,"up","TRN vs SUB"
"6330549D23Rik",-0.458971527196161,0.037,70,-0.458866082178725,0.0352,"down","TRN vs SUB"
"Olfr381",-0.357289393302782,0.037,70,-0.353845350529217,0.031,"down","TRN vs SUB"
"Itga3",0.367925335730715,0.0374,70,0.41510036951362,0.0174,"up","TRN vs SUB"
"Ermn",0.633001513840227,0.0374,70,0.707832666076041,0.0194,"up","TRN vs SUB"
"Phf13",-0.261852314843559,0.0374,70,-0.4283497265497,0.001,"down","TRN vs SUB"
"Cst6",-0.280795781554795,0.0376,70,-0.432698532891096,0.002,"down","TRN vs SUB"
"Tmeff1",0.360312961838093,0.0376,70,0.565987232659763,0.0014,"up","TRN vs SUB"
"Tmem260",-0.269738592431354,0.0376,70,-0.302270856483748,0.0178,"down","TRN vs SUB"
"Dlk1",1.02375788269481,0.0376,70,1.64739004621101,6e-04,"up","TRN vs SUB"
"Epb42",-0.444940945920067,0.0378,70,-0.402869820935354,0.0468,"down","TRN vs SUB"
"Pdhx",0.207923860075745,0.0382,70,0.307103513673293,0.0026,"up","TRN vs SUB"
"Pcgf5",-0.213308958896688,0.0384,70,-0.295433140289679,0.0064,"down","TRN vs SUB"
"Ppp1r2",0.324144483943012,0.0384,70,0.640721949709772,0,"up","TRN vs SUB"
"Vmn1r207",-0.339530966846382,0.0384,70,-0.402371534765021,0.0114,"down","TRN vs SUB"
"Ryr1",-0.400979866742274,0.0386,70,-0.770441198175491,0.001,"down","TRN vs SUB"
"Kif21b",-0.254329276991327,0.0388,70,-0.249107230511373,0.0428,"down","TRN vs SUB"
"Bcas1",0.527770127056726,0.039,70,0.711396974633423,0.0072,"up","TRN vs SUB"
"Rps6kb2",-0.259027552999974,0.039,70,-0.410565671623115,8e-04,"down","TRN vs SUB"
"H2az2",0.222280905311437,0.0394,70,0.244811408089956,0.0184,"up","TRN vs SUB"
"Anxa6",0.272714154440907,0.0396,70,0.38982894689797,0.0054,"up","TRN vs SUB"
"Shq1",-0.322800102356594,0.0396,70,-0.351024080406353,0.0266,"down","TRN vs SUB"
"Dbi",0.316811324252671,0.0398,70,0.477717155310891,0.0018,"up","TRN vs SUB"
"Plekhb1",0.376097659539379,0.0398,70,0.504058788588315,0.008,"up","TRN vs SUB"
"Herc4",-0.226746154321862,0.04,70,-0.425490110482566,0,"down","TRN vs SUB"
"Padi2",0.431823865137074,0.04,70,0.643370244625031,0.002,"up","TRN vs SUB"
"Penk",0.876851373498879,0.0402,70,1.3813993131218,0.0022,"up","TRN vs SUB"
"Suox",0.489605856906236,0.0408,70,0.712641983835181,0.002,"up","TRN vs SUB"
"Maml2",0.531540032951419,0.041,70,0.872225721762558,8e-04,"up","TRN vs SUB"
"Fam161b",-0.209428406121814,0.0416,70,-0.232958789098688,0.0226,"down","TRN vs SUB"
"Ppp1cc",0.257947522824358,0.042,70,0.276928858012372,0.0338,"up","TRN vs SUB"
"Ppp1cc",0.257947522824358,0.042,70,0.276928858012372,0.0338,"up","TRN vs SUB"
"Ppp1cc",0.257947522824358,0.042,70,0.276928858012372,0.0338,"up","TRN vs SUB"
"Ppp1cc",0.257947522824358,0.042,70,0.276928858012372,0.0338,"up","TRN vs SUB"
"Ppp1cc",0.257947522824358,0.042,70,0.276928858012372,0.0338,"up","TRN vs SUB"
"Ppp1cc",0.257947522824358,0.042,70,0.276928858012372,0.0338,"up","TRN vs SUB"
"Ppp1cc",0.257947522824358,0.042,70,0.276928858012372,0.0338,"up","TRN vs SUB"
"Ppp1cc",0.257947522824358,0.042,70,0.276928858012372,0.0338,"up","TRN vs SUB"
"Tmcc3",0.287518771124144,0.0422,70,0.358962073845023,0.0128,"up","TRN vs SUB"
"Thap3",0.261699486803197,0.043,70,0.279909817671094,0.026,"up","TRN vs SUB"
"Arxes1",0.33636396489904,0.043,70,0.48847982174591,0.0042,"up","TRN vs SUB"
"Pafah1b3",-0.249418863362629,0.0432,70,-0.271418642969278,0.028,"down","TRN vs SUB"
"Zbtb16",-0.27371649391043,0.0432,70,-0.33421844916609,0.0138,"down","TRN vs SUB"
"Sertad1",-0.347180398360694,0.0434,70,-0.360897052933375,0.03,"down","TRN vs SUB"
"Sash1",0.212083108196022,0.0436,70,0.260925122089248,0.0122,"up","TRN vs SUB"
"Cryl1",0.387330194231921,0.0436,70,0.401540996178239,0.0334,"up","TRN vs SUB"
"Cnp",0.447141125482748,0.0438,70,0.543741545415172,0.017,"up","TRN vs SUB"
"D630023F18Rik",0.421913658578212,0.0438,70,0.440605278136711,0.0282,"up","TRN vs SUB"
"Slc35a3",-0.263181085742796,0.0444,70,-0.281291973362693,0.0274,"down","TRN vs SUB"
